         100  0.2665588      1.0869487E-03
         101  0.2668490      1.1028219E-03
         102  0.2673656      1.1276208E-03
         103  0.2674000      1.1337817E-03
         104  0.2687296      1.2277866E-03
         105  0.2711793      1.3834130E-03
         106  0.2694039      1.2588653E-03
         107  0.2656375      1.0177448E-03
         108  0.2656997      1.0123403E-03
         109  0.2668956      1.0841425E-03
         110  0.2673755      1.1266468E-03
         111  0.2677608      1.1678556E-03
         112  0.2680748      1.1922445E-03
         113  0.2677830      1.1693918E-03
         114  0.2668961      1.1136901E-03
         115  0.2669876      1.1158130E-03
         116  0.2673657      1.1357907E-03
         117  0.2665143      1.0838291E-03
         118  0.2653365      1.0056682E-03
         119  0.2648867      9.8833325E-04
         120  0.2651507      1.0048228E-03
         121  0.2662328      1.0629667E-03
         122  0.2659491      1.0415594E-03
         123  0.2647794      9.6621906E-04
         124  0.2661726      1.0543509E-03
         125  0.2688108      1.2189187E-03
         126  0.2688929      1.2285274E-03
         127  0.2674632      1.1320632E-03
         128  0.2654975      1.0085092E-03
         129  0.2648257      9.7304059E-04
         130  0.2653294      1.0125352E-03
         131  0.2659627      1.0511806E-03
         132  0.2672799      1.1332437E-03
         133  0.2694160      1.2687502E-03
         134  0.2706268      1.3470452E-03
         135  0.2692588      1.2531020E-03
         136  0.2665357      1.0813152E-03
         137  0.2658883      1.0253091E-03
         138  0.2667067      1.0591695E-03
         139  0.2660584      1.0129936E-03
         140  0.2646725      9.2615950E-04
         141  0.2658571      1.0114334E-03
         142  0.2674708      1.1240101E-03
         143  0.2670524      1.1093817E-03
         144  0.2667389      1.0945390E-03
         145  0.2673102      1.1266638E-03
         146  0.2681995      1.1842838E-03
         147  0.2684768      1.1991087E-03
         148  0.2672869      1.1180409E-03
         149  0.2662856      1.0573452E-03
         150  0.2662579      1.0568030E-03
         151  0.2655251      1.0053790E-03
         152  0.2653530      9.9160464E-04
         153  0.2662910      1.0567631E-03
         154  0.2673277      1.1214860E-03
         155  0.2686614      1.2115106E-03
         156  0.2702750      1.3118276E-03
         157  0.2705924      1.3217253E-03
         158  0.2690312      1.2221354E-03
         159  0.2672270      1.1047480E-03
         160  0.2670922      1.0921682E-03
         161  0.2683689      1.1707976E-03
         162  0.2687773      1.2002438E-03
         163  0.2678785      1.1390551E-03
         164  0.2672777      1.0969635E-03
         165  0.2670621      1.0931299E-03
         166  0.2663471      1.0592246E-03
         167  0.2664371      1.0694910E-03
         168  0.2665414      1.0677087E-03
         169  0.2664665      1.0608308E-03
         170  0.2671341      1.1116893E-03
         171  0.2684044      1.1993261E-03
         172  0.2706545      1.3402180E-03
         173  0.2727199      1.4569095E-03
         174  0.2731695      1.4823111E-03
         175  0.2711958      1.3434266E-03
         176  0.2675988      1.1150979E-03
         177  0.2647897      9.3454664E-04
         178  0.2628079      8.1370847E-04
