          32      124352      -22424
          32         736       -2441
          32     1379968      -27224
          32        3160      -27604
          32         360      -28671
          32         200       -2905
          32        8424      -33095
          32        1048      -33694
          32        5928      -35314
          32         224       -3662
          32        2800      -38924
          32       35352      -40300
          32        1464      -46179
          32        4872      -47166
          32        7680      -48349
          32        9400      -49337
          32        3072      -54186
          32        5840      -60500
          32         552      -61520
          32        3336      -61869
          32       14512      -66112
          32       44944      -68586
          32        5120      -69235
          32         784       -7378
          32        2336      -76292
          32       15424       -8158
          32       39072      -83269
          32       68232      -85293
          32        1728      -85440
          32       75336      -87388
          32        6344      -87886
          32        5856      -89240
          32        2424      -90612
          32       83840      -91078
          32        2784       -9609
          32        1456      -97153
          32       15704      -98624
          36       15651      -11959
          36        7488      -13368
          36        2250      -14407
          36      300438      -15343
          36       32967      -17417
          36       13617      -18860
          36      339111      -19216
          36      267561      -19435
          36       21402      -21643
          36       39870      -21955
          36        9900      -22725
          36        2196      -22784
          36      414846      -23666
          36        3618       -2501
          36        1143      -27223
          36       48312      -32935
          36       31077      -33544
          36        9666      -37861
          36      115272      -39285
          36        1557      -39721
          36      201987      -40027
          36      150750      -41598
          36       21114      -42185
          36       28206      -42258
          36        1323      -44774
          36       62469       -4538
          36      118683      -48842
          36        7947      -51503
          36       28935      -56324
          36         603      -59812
          36       54999      -67610
          36       55890       -6767
          36       66609      -68069
          36       29952       -7288
          36        6246      -73152
          36       55701      -76209
          36      216081       -7738
          36        7506       -7964
          36       93663      -82174
          36        6246      -82310
          36     1113066      -89750
          36       14670      -92528
          36       20817      -93738
          36         666      -94248
          36       32319      -97993
          36       20034      -98017
          40       11280      -10499
          40      111580      -11981
          40        7970      -16059
          40        8660      -17502
          40      705280      -18002
          40       23910      -22568
          40        5940      -23517
          40       16450      -27558
          40       70470      -28674
          40       21530      -29112
          40       24770      -29712
          40      135630      -30951
          40        6630      -36343
          40       36220      -40821
          40       55180      -41333
          40     3289690       -4602
          40      235000      -49306
          40       64800      -49685
          40        1310      -52675
